Entity Information,Initial Filing Date,Status,Entity Type,Formed In,Agent
"AUTHORIZED TESTING, INC. (894583)",08/10/1978,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID CHARLES FOUNTAIN
"AUTO-EMISSION TEST SYSTEMS, INC. (2032787)",08/13/1997,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID E WILLIAMS
AUTOMATED TEST PROGRAMMING LLC (202003110353),01/19/2020,Active,Limited Liability Company - CA,CALIFORNIA,SHIH-MING CHANG
"AUTOMATED TESTING ASSOCIATES, LTD. (198418300243)",07/01/1984,Active,Limited Partnership - CA,CALIFORNIA,R. A. MCDONALD
"AUTOMATIC SPRINKLER TESTING & INSPECTION SERVICES, INC. (1535143)",06/20/1986,Active,Stock Corporation - CA - General,CALIFORNIA,KARINA OROZCO
AUTOMATIC TEST PREPARATION LLC (201203510407),01/20/2012,Active,Limited Liability Company - CA,CALIFORNIA,JOSHUA LORD
"AUTOMOTIVE TESTING AND DEVELOPMENT SERVICES, INC. (1454776)",01/23/1989,Active,Stock Corporation - CA - General,CALIFORNIA,DEVON SMITH
AVERNA TEST SYSTEMS INC. (3306543),07/01/2010,Active,Stock Corporation - Out of State - Stock,GEORGIA,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
AVIONICS TEST & ANALYSIS CORPORATION (3273258),01/20/2010,Active,Stock Corporation - Out of State - Stock,NEVADA,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
"AVL TEST SYSTEMS, INC. (2758572)",07/06/2005,Active,Stock Corporation - Out of State - Stock,DELAWARE,C T CORPORATION SYSTEM
"AXIOM TEST EQUIPMENT, INC. (2592858)",12/20/2005,Active,Stock Corporation - CA - General,CALIFORNIA,GARY F SHILTS
AYS QUICK TEST LLC (202202110585),01/18/2022,Active,Limited Liability Company - CA,CALIFORNIA,ADIR SABAG
"B. HILLEBRANDT SOILS TESTING, INC. (2185178)",01/24/2000,Active,Stock Corporation - CA - General,CALIFORNIA,BRADLEY KARL HILLEBRANDT
B.C.P. TUBE TESTING (198417600216),07/01/1984,Active,Limited Partnership - CA,CALIFORNIA,JOHN W. BRANCH
BAJA TESTING LAB LLC (201523710015),08/24/2015,Active,Limited Liability Company - CA,CALIFORNIA,LILIANA PARRA
BATTLE TESTED B52 INCORPORATED (3926667),07/19/2016,Active,Stock Corporation - CA - General,CALIFORNIA,MICHAEL VERGARA
BATTLE TESTED INC. (4726378),04/19/2021,Active,Stock Corporation - CA - General,CALIFORNIA,MICHAEL MELANO
"BATTLE TESTED KIDS, INC. (4229734)",01/07/2019,Active,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,NITAROZELLE SIMPSON
BATTLE TESTED SOLUTIONS LLC (201405610351),02/20/2014,Active,Limited Liability Company - CA,CALIFORNIA,GREGORY H SCHNEIDER
BATTLE TESTED WAR READY LLC (202020310350),07/18/2020,Active,Limited Liability Company - CA,CALIFORNIA,CLARENCE NEWTON III
"BATTLE TESTED, LLC (201900910712)",01/04/2019,Active,Limited Liability Company - CA,CALIFORNIA,NITAROZELLE SIMPSON
"BAY AREA TESTING CENTER, LLC (201011710234)",04/23/2010,Active,Limited Liability Company - CA,CALIFORNIA,ANDREW DAI
"BCO SIMPLY SMOG EXPRESS TEST ONLY, INC. (2398382)",05/16/2002,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID BOOTH
"BEARING TEST, INC. (1437441)",05/26/1988,Active,Stock Corporation - CA - General,CALIFORNIA,SUSAN M COLLIER
BEN TIPP TESTAMENTARY-GATEWAY LLC (199815410011),06/03/1998,Active,Limited Liability Company - Out of State,DELAWARE,JAMES G WELLBAUM
BENCH TESTING SERVICES INC. (3271702),01/13/2010,Active,Stock Corporation - CA - General,CALIFORNIA,MILTON THAN RIVERA
"BESS MATERIALS TESTING AND INSPECTION, INC. (2822365)",12/23/2005,Active,Stock Corporation - CA - General,CALIFORNIA,MARTHA BOHORQUEZ
"BESS TESTLAB, INC. (1932310)",04/11/1995,Active,Stock Corporation - CA - General,CALIFORNIA,MARTHA BOHORQUEZ
BESURE TESTING INC. (4792610),09/21/2021,Active,Stock Corporation - Out of State - Stock,NEVADA,ERIC G DUERMEYER
BETTER HEALTH TESTING (4803439),10/24/2021,Active,Stock Corporation - CA - General,CALIFORNIA,BRIAN DOUGLAS GOINS
BEVERLY HILLS TESTING (4810604),11/11/2021,Active,Stock Corporation - CA - General,CALIFORNIA,ARIAN KHALIFIAN
BICOASTAL TESTING LLC (202101111116),01/06/2021,Active,Limited Liability Company - CA,CALIFORNIA,
BICOSTAL LAB TESTING LLC (202202010470),01/17/2022,Active,Limited Liability Company - CA,CALIFORNIA,
"BIG HORN PUMP TESTING, LLC (201306810460)",02/05/2013,Active,Limited Liability Company - CA,CALIFORNIA,RICARDO RAM
"BIO TEST, INC. (4833944)",01/14/2022,Active,Stock Corporation - CA - General,CALIFORNIA,ELIZABETH GYERMAN
"BIOCOMP TESTING, INC. (4004389)",03/15/2017,Active,Stock Corporation - CA - General,CALIFORNIA,KRISHNA KUPUMBATI
"BIOMECHANICAL RESEARCH & TESTING, LLC (202203810108)",01/27/2022,Active,Limited Liability Company - Out of State,DELAWARE,
BIONIQUE TESTING LABORATORIES LLC (202134910203),12/09/2021,Active,Limited Liability Company - Out of State,NEW YORK,
"BIOSCREEN TESTING SERVICES, INC. (1272199)",03/25/1985,Active,Stock Corporation - CA - General,CALIFORNIA,SOHEYL TAHSILDOOST
"BLAIR N TESTA DDS, INC. (4327486)",10/16/2019,Active,Stock Corporation - CA - General,CALIFORNIA,BLAIR N TESTA
BLUEFIN TESTING SOLUTIONS INCORPORATED (4828611),01/04/2022,Active,Stock Corporation - CA - General,CALIFORNIA,DANIEL CHRISTOPHER RAMOS
BLUEPRINT TEST PREPARATION LLC (200501010178),01/10/2005,Active,Limited Liability Company - CA,CALIFORNIA,
"BODY FAT TEST SAN DIEGO, LLC (201824110613)",08/27/2018,Active,Limited Liability Company - CA,CALIFORNIA,JOLEN LAPERNA
"BOSHART AUTOMOTIVE TESTING SERVICES, INC. (2185490)",01/27/2000,Active,Stock Corporation - CA - General,CALIFORNIA,LYNN MAXWELL BOSHART
"BREATH TESTER GROUP, A CALIFORNIA LIMITED PARTNERSHIP (198522700017)",08/15/1985,Active,Limited Partnership - CA,CALIFORNIA,LEONARD W. JAROSZ
"BRIAN TESTO ASSOCIATES, LLC (199802010100)",01/20/1998,Active,Limited Liability Company - CA,CALIFORNIA,BRIAN CHRISTOPHER TESTO
"BRIDGET S. TESTER, D.P.M., INC. (2386385)",12/21/2001,Active,Stock Corporation - CA - General,CALIFORNIA,BRIDGET SUSAN TESTER
"BRIM FIRE ALARM TESTING, INC. (3594055)",08/01/2013,Active,Stock Corporation - CA - General,CALIFORNIA,SCOTT BRIM
BROWN BROTHERS BACKFLOW TESTING INC. (3989232),01/31/2017,Active,Stock Corporation - CA - General,CALIFORNIA,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
"BTPS TESTING, LLC (201007410337)",03/12/2010,Active,Limited Liability Company - CA,CALIFORNIA,JOY MONDRAGON GILMORE
BUDGET BACKFLOW TESTING & REPAIR LLC (202025210420),09/03/2020,Active,Limited Liability Company - CA,CALIFORNIA,DEBRA BINDER
"BURBANK TEST ONLY, INC. (3507095)",09/14/2012,Active,Stock Corporation - CA - General,CALIFORNIA,ALINA AGHAKHANI
C&H TESTING SERVICE LLC (200932310072),11/12/2009,Active,Limited Liability Company - Out of State,ALASKA,
C&M BACKFLOW TESTING AND REPAIR INC. (3845929),11/25/2015,Active,Stock Corporation - CA - General,CALIFORNIA,BUSINESS FILINGS INCORPORATED WHICH WILL DO BUSINESS IN CALIFORNIA AS DELAWARE BUSINESS FILINGS INCORPORATED
